engine_id,recorded_at,temperature_c,oil_pressure_psi,vibration_mm_s,fuel_flow_kg_h,engine_speed_percent,flight_hours,status,maintenance_required
ENG-001,2026-01-01 08:00:00,692.2,48.95,1.93,2516.6,94.38,2109,Normal,No
ENG-001,2026-01-01 08:05:00,705.77,42.94,2.67,2540.63,90.71,2109,Normal,No
ENG-001,2026-01-01 08:10:00,697.26,40.76,2.08,2796.78,90.82,2109,Warning,No
ENG-001,2026-01-01 08:15:00,696.83,51.42,2.37,2646.94,92.31,2109,Normal,No
ENG-001,2026-01-01 08:20:00,706.9,44.44,3.0,2744.75,93.9,2109,Normal,No
ENG-001,2026-01-01 08:25:00,709.6,49.43,3.49,2396.94,87.1,2109,Normal,No
ENG-001,2026-01-01 08:30:00,685.19,51.84,2.66,2436.82,98.34,2109,Normal,No
ENG-001,2026-01-01 08:35:00,722.23,51.49,2.74,2614.31,84.79,2109,Normal,No
ENG-001,2026-01-01 08:40:00,751.67,43.87,3.57,2261.85,89.64,2109,Warning,No
ENG-001,2026-01-01 08:45:00,714.39,58.81,1.12,2471.72,97.65,2109,Normal,No
ENG-001,2026-01-01 08:50:00,731.27,50.35,4.57,2366.83,92.61,2109,Warning,No
ENG-001,2026-01-01 08:55:00,723.26,45.01,2.39,2493.79,98.19,2109,Normal,No
ENG-001,2026-01-01 09:00:00,680.72,47.12,3.66,2248.4,93.07,2109,Normal,No
ENG-001,2026-01-01 09:05:00,778.72,43.85,3.28,2268.12,84.07,2109,Warning,No
ENG-001,2026-01-01 09:10:00,712.47,44.19,2.94,2598.76,86.4,2109,Normal,No
ENG-001,2026-01-01 09:15:00,667.5,57.13,3.8,2327.59,87.61,2109,Normal,No
ENG-001,2026-01-01 09:20:00,658.37,55.67,1.5,1941.24,93.14,2109,Normal,No
ENG-001,2026-01-01 09:25:00,731.73,45.87,3.67,2366.72,93.84,2109,Normal,No
ENG-001,2026-01-01 09:30:00,714.2,48.65,2.13,2273.8,89.37,2109,Normal,No
